STREET NAME ID,STREET PREFIX DIRECTION,STREET PREFIX TYPE,STREET NAME,STREET SUFFIX TYPE,STREET SUFFIX DIRECTION,STREET EXTENSION,POSTAL COMMUNITY,MUNICIPAL COMMUNITY,NOTATION,PRIVATE STREET,FRONTAGE ROAD
1600114,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600115,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600116,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600117,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600118,,,PUBLIC DRIVE,,,,BAKER,PARISH,,NO,NO
1600119,,,PUBLIC DRIVE,,,,ZACHARY,PARISH,,NO,NO
1600120,,,PUBLIC DRIVE,,,,ZACHARY,PARISH,,NO,NO
1600122,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600124,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600133,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600134,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600135,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600136,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600137,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600138,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600139,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600140,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600141,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600143,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600144,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600145,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600146,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600147,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600148,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600149,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600150,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600151,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600152,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600153,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600154,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600155,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600157,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600163,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600165,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600166,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600167,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600168,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1601,,,EDGEWOOD,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1602,,,EDINBURGH,AVE,,,BATON ROUGE,BATON ROUGE,,NO,NO
1603,,,EDISON,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
1604,,,EDMUND HAWES,RD,,,BATON ROUGE,PARISH,,NO,NO
1606,,,EDNIE,LN,,,GREENWELL SPRINGS,CENTRAL,,NO,NO
1607,,,EDUCATION,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
1608,,,EDWARD,AVE,,,BATON ROUGE,BATON ROUGE,,NO,NO
1609,,,EDWARDS,RD,,,PRIDE,PARISH,,NO,NO
161,,,AMEN CORNER,CT,,,BATON ROUGE,PARISH,,YES,NO
1610,,,EDWIN,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
1611,,,EFFRINGHAM,AVE,,,BATON ROUGE,BATON ROUGE,,NO,NO
1612,,,EGRET,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
1613,,,EILAND,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
1614,,,EILEEN,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1615,,,EL CAJON,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1616,W,,EL CAJON,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1617,,,EL CAMINO,AVE,,,BATON ROUGE,BATON ROUGE,,NO,NO
1618,,,EL MONTE,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
1619,,,EL MORRO,DR,,,BATON ROUGE,BATON ROUGE,,NO,NO
162,,,AMERICA,ST,,,BATON ROUGE,BATON ROUGE,,NO,NO
